"","X","RespondentID","Year","Age","Region","Educ.Level","Educ.Years","Educ.Attained","Marital","Husb.Educ.Level","Husb.Educ.Years","Husb.Employment","Employment","Husb.Educ.Attained","Husb.Age","Emotional.IPV","Less.Physic.IPV","More.Physic.IPV","Sexual.IPV","Husb.Employment.Bin","Employment.Bin","LPG","Physical.IPV","ANY.IPV","Counts.IPV","Male","Female"
"1566",11089,11673,2017,33,2,3,15,5,1,3,15,7214,9621,5,35,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1567",11090,11674,2017,31,2,3,15,5,1,2,9,9329,2310,3,33,1,0,0,0,1,1,"Both employed",0,1,1,1,1
"1568",11093,11678,2017,21,2,3,14,5,1,3,13,6113,0,5,26,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1569",11094,11679,2017,34,2,2,10,3,1,2,11,7212,5221,3,40,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1570",11095,11680,2017,43,2,1,7,2,1,2,11,6113,1420,3,45,1,0,0,0,1,1,"Both employed",0,1,1,1,1
"1571",11096,11681,2017,19,2,2,10,3,2,2,10,9312,0,3,20,1,0,0,0,1,0,"Male only Employed",0,1,1,1,0
"1572",11097,11682,2017,35,2,3,14,5,1,2,11,6113,0,3,36,1,0,0,0,1,0,"Male only Employed",0,1,1,1,0
"1573",11098,11683,2017,34,2,2,11,4,1,2,8,9213,0,3,35,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1574",11101,11686,2017,20,2,1,5,1,2,2,8,9312,9111,3,21,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1575",11103,11688,2017,38,2,2,9,3,1,2,11,7413,5142,3,45,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1576",11104,11689,2017,39,2,3,14,5,1,3,15,9312,1113,5,41,1,0,0,0,1,1,"Both employed",0,1,1,1,1
"1577",11105,11690,2017,31,2,3,15,5,1,3,13,5221,0,5,30,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1578",11107,11692,2017,29,2,3,13,5,1,2,8,6112,9213,3,30,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1579",11108,11693,2017,26,2,2,9,3,1,2,8,9213,0,3,28,1,0,0,0,1,0,"Male only Employed",0,1,1,1,0
"1580",11111,11696,2017,24,2,2,10,3,1,2,9,9312,0,3,33,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1581",11113,11698,2017,33,2,1,3,1,1,1,5,9213,9121,1,36,1,1,1,1,1,1,"Both employed",1,1,3,1,1
"1582",11115,11700,2017,35,2,2,11,4,1,2,11,5153,9212,3,37,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1583",11116,11701,2017,39,2,2,11,4,1,2,11,9520,1221,3,49,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1584",11117,11702,2017,39,2,1,7,2,2,2,10,9213,9121,3,44,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1585",11118,11703,2017,39,2,2,11,4,1,3,15,6113,9213,5,47,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1586",11120,11705,2017,20,2,2,11,4,1,2,11,6113,0,3,25,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1587",11121,11706,2017,22,2,3,15,5,1,3,16,0,4110,5,26,1,0,0,0,0,1,"Female only Employed",0,1,1,0,1
"1588",11122,11707,2017,32,2,1,7,2,1,1,5,6113,9213,1,45,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1589",11124,11710,2017,30,2,3,15,5,1,3,15,5165,4321,5,30,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1590",11126,11712,2017,23,2,2,9,3,1,2,11,9312,0,3,34,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1591",11127,11713,2017,35,2,0,0,0,2,1,3,9214,0,1,38,0,1,0,1,1,0,"Male only Employed",1,1,2,1,0
"1592",11128,11714,2017,26,2,3,15,5,1,3,15,3258,0,5,31,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1593",11129,11715,2017,24,2,2,8,3,1,1,3,7115,0,1,29,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1594",11131,11717,2017,33,2,2,11,4,1,3,13,7212,7531,5,37,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1595",11132,11718,2017,22,2,2,11,4,2,1,7,5245,3255,1,18,1,0,0,0,1,1,"Both employed",0,1,1,1,1
"1596",11133,11719,2017,37,2,2,11,4,1,2,9,7115,9213,3,37,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1597",11134,11720,2017,17,2,2,10,3,2,1,3,9312,0,1,20,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1598",11135,11721,2017,34,2,3,13,5,1,3,15,3513,0,5,35,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1599",11136,11722,2017,36,2,1,7,2,1,1,2,9213,1420,1,47,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1600",11137,11723,2017,34,2,3,12,5,1,1,7,6111,0,1,30,1,1,0,0,1,0,"Male only Employed",1,1,2,1,0
"1601",11138,11724,2017,23,2,3,15,5,1,3,14,6121,5312,5,24,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1602",11139,11725,2017,23,2,1,7,2,1,2,11,9214,0,3,24,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1603",11140,11726,2017,23,2,2,8,3,2,1,5,6111,0,1,29,0,1,0,0,1,0,"Male only Employed",1,1,1,1,0
"1604",11141,11727,2017,19,2,3,12,5,2,3,12,5425,4321,5,21,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1605",11142,11728,2017,24,2,2,11,4,1,3,13,9520,0,5,27,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1606",11143,11729,2017,20,2,2,9,3,2,1,7,6111,0,1,24,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1607",11144,11730,2017,35,2,2,9,3,1,1,3,6111,6111,1,36,0,1,1,1,1,1,"Both employed",1,1,2,1,1
"1608",11145,11731,2017,21,2,3,13,5,2,3,12,8322,5230,5,22,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1609",11147,11733,2017,20,2,1,3,1,2,1,3,9213,0,1,27,1,1,0,0,1,0,"Male only Employed",1,1,2,1,0
"1610",11149,11735,2017,30,2,2,11,4,1,1,7,9621,0,1,32,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1611",11150,11736,2017,36,2,3,13,5,1,3,12,7115,1420,5,42,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1612",11152,11738,2017,22,2,2,11,4,2,1,2,6111,0,1,27,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
